ZONE,Type,VillaNo,,WorkType1,Percentage1,Status1,Contractor1,,WorkType2,Percentage2,Status2,Contractor2,,WorkType3,Percentage3,Status3,Contractor3,,WorkType4,Percentage4,Status4,Contractor4,,WorkType5,Percentage5,Status5,Contractor5,,WorkType6,Percentage6,Status6,Contractor6,,WorkType7,Percentage7,Status7,Contractor7,,WorkType8,Percentage8,Status8,Contractor8
Z11,V6,90,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة احتراف,,لياسة  دورارضي,100%,Closed,مؤسسة احتراف,,طرطشة  دوراول,100%,Closed,مؤسسة احتراف,,لياسة  دوراول,100%,Closed,مؤسسة احتراف,,طرطشة  دورالملحق,,,,,لياسة  دورالملحق,,,,,طرطشة خارجية للواجهات,100%,Closed,مؤسسه ايه كي ام ال,,لياسة خارجية للواجهات,100%,Closed,مؤسسه ايه كي ام ال
Z11,V6,91,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة تقنين,,لياسة  دورارضي,,,,,طرطشة  دوراول,,,,,لياسة  دوراول,,,,,طرطشة  دورالملحق,100%,Closed,مؤسسه الحزم,,لياسة  دورالملحق,60%,Open,مؤسسه الحزم,,طرطشة خارجية للواجهات,100%,Closed,مؤسسه تباشير,,لياسة خارجية للواجهات,100%,Closed,مؤسسه ايه كي ام ال
Z11,V6,92,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة تقنين,,لياسة  دورارضي,,,,,طرطشة  دوراول,,,,,لياسة  دوراول,100%,Closed,مؤسسه ايه كي ام ال,,طرطشة  دورالملحق,100%,Closed,مؤسسه ايه كي ام ال,,لياسة  دورالملحق,,,,,طرطشة خارجية للواجهات,100%,Closed,مؤسسه ايه كي ام ال,,لياسة خارجية للواجهات,100%,Closed,مؤسسه ايه كي ام ال
Z11,V6,93,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة مسار المشاعر,,لياسة  دورارضي,100%,Closed,مؤسسة مسار المشاعر,,طرطشة  دوراول,,,,,لياسة  دوراول,100%,Closed,مؤسسه ايه كي ام ال,,طرطشة  دورالملحق,100%,Closed,مؤسسه ايه كي ام ال,,لياسة  دورالملحق,,,,,طرطشة خارجية للواجهات,100%,Closed,مؤسسه ايه كي ام ال,,لياسة خارجية للواجهات,100%,Closed,مؤسسه ايه كي ام ال
Z11,V6,94,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة مسار المشاعر,,لياسة  دورارضي,100%,Closed,مؤسسة مسار المشاعر,,طرطشة  دوراول,100%,Closed,مؤسسه ايه كي ام ال,,لياسة  دوراول,100%,Closed,مؤسسه ايه كي ام ال,,طرطشة  دورالملحق,100%,Closed,مؤسسه ايه كي ام ال,,لياسة  دورالملحق,90%,Retained,مؤسسه الحزم,,طرطشة خارجية للواجهات,100%,Closed,مؤسسه ايه كي ام ال,,لياسة خارجية للواجهات,,,
Z11,V6,95,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة مسار المشاعر,,لياسة  دورارضي,100%,Closed,مؤسسة مسار المشاعر,,طرطشة  دوراول,100%,Closed,مؤسسه ايه كي ام ال,,لياسة  دوراول,100%,Closed,مؤسسه ايه كي ام ال,,طرطشة  دورالملحق,100%,Closed,مؤسسه ايه كي ام ال,,لياسة  دورالملحق,90%,Retained,مؤسسه الحزم,,طرطشة خارجية للواجهات,100%,Closed,مؤسسه ايه كي ام ال,,لياسة خارجية للواجهات,100%,Closed,مؤسسه ايه كي ام ال
Z11,V6,96,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة تقنين,,لياسة  دورارضي,,,,,طرطشة  دوراول,100%,Closed,مؤسسه ايه كي ام ال,,لياسة  دوراول,100%,Closed,مؤسسه ايه كي ام ال,,طرطشة  دورالملحق,100%,Closed,مؤسسه ايه كي ام ال,,لياسة  دورالملحق,,,,,طرطشة خارجية للواجهات,100%,Closed,مؤسسه ايه كي ام ال,,لياسة خارجية للواجهات,60%,Open,مؤسسه ايه كي ام ال
Z11,V6,97,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة تقنين,,لياسة  دورارضي,70%,Open,مؤسسة تقنين,,طرطشة  دوراول,100%,Closed,مؤسسه ايه كي ام ال,,لياسة  دوراول,100%,Closed,مؤسسه ايه كي ام ال,,طرطشة  دورالملحق,,,,,لياسة  دورالملحق,100%,Closed,مؤسسه ماجد فوزان,,طرطشة خارجية للواجهات,,,,,لياسة خارجية للواجهات,75%,Open,مؤسسه ماجد فوزان
Z11,V6,98,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة تقنين,,لياسة  دورارضي,70%,Open,مؤسسة تقنين,,طرطشة  دوراول,100%,Closed,مؤسسه ايه كي ام ال,,لياسة  دوراول,100%,Closed,مؤسسه ايه كي ام ال,,طرطشة  دورالملحق,,,,,لياسة  دورالملحق,,,,,طرطشة خارجية للواجهات,,,,,لياسة خارجية للواجهات,,,
Z11,V6,99,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة تقنين,,لياسة  دورارضي,70%,Open,مؤسسة تقنين,,طرطشة  دوراول,100%,Closed,مؤسسه ايه كي ام ال,,لياسة  دوراول,100%,Closed,مؤسسه ايه كي ام ال,,طرطشة  دورالملحق,,,,,لياسة  دورالملحق,,,,,طرطشة خارجية للواجهات,100%,Closed,الصدقه / محمد السيد حسن رضا,,لياسة خارجية للواجهات,,,
